Site,Ring,Species,Sensor,Column,Status,Depth,Fert,Tree,colname,DBH2002,DBH2003,DBH2004,DBH2005
HW,E,litu,1,5,1,1,0,1,litu1e,65.2,65.4,65.7,65.6
HW,E,litu,2,6,1,1,0,2,litu2e,42.6,44.4,44.7,43.4
HW,E,litu,3,7,1,1,0,3,litu3e,15.4,16.1,16.3,16.2
HW,E,litu,4,8,1,1,0,4,litu4e,25.8,26.4,26.7,25.8
HW,E,litu,5,9,1,1,0,5,litu5e,41.1,42,42.5,42
HW,W,litu,6,10,1,1,0,6,litu1w,26.4,26.6,27.1,26.8
HW,W,litu,7,11,1,1,0,7,litu2w,37.7,37.7,38.3,38
HW,W,litu,8,12,1,1,0,8,litu3w,35.3,36,36,36
HW,W,litu,9,13,1,1,0,9,litu4w,38.4,38.7,40.1,39.2
HW,W,litu,10,14,1,1,0,10,litu5w,59.3,59.8,60.6,59.9
