year,JDT,DOY,Time,litu.HW
2003,4749,1,0,0.0006
2003,4750,2,0,0.0005
2003,4751,3,0,0.0005
2003,4752,4,0,0.0005
2003,4753,5,0,0.0003
2003,4754,6,0,0.0003
2003,4755,7,0,0.0003
2003,4756,8,0,0.0003
2003,4757,9,0,0.0003
2003,4758,10,0,0.0003
2003,4759,11,0,0.0003
2003,4760,12,0,0.0003
2003,4761,13,0,0.0002
2003,4762,14,0,0.0001
2003,4763,15,0,0
2003,4764,16,0,0
2003,4765,17,0,0
2003,4766,18,0,0
2003,4767,19,0,0
2003,4768,20,0,0
2003,4769,21,0,0
2003,4770,22,0,0
2003,4771,23,0,0
2003,4772,24,0,0
2003,4773,25,0,0
2003,4774,26,0,0
2003,4775,27,0,0.0123
2003,4776,28,0,0.0122
2003,4777,29,0,0.0118
2003,4778,30,0,0.0115
2003,4779,31,0,0.0113
2003,4780,32,0,0.011
2003,4781,33,0,0.0108
2003,4782,34,0,0.0108
2003,4783,35,0,0.0105
2003,4784,36,0,0.0101
2003,4785,37,0,0.01
2003,4786,38,0,0.0097
2003,4787,39,0,0.0097
2003,4788,40,0,0.0093
2003,4789,41,0,0.0091
2003,4790,42,0,0.0089
2003,4791,43,0,0.0087
2003,4792,44,0,0.0081
2003,4793,45,0,0.0082
2003,4794,46,0,0.0079
2003,4795,47,0,0.0077
2003,4796,48,0,0.0077
2003,4797,49,0,0.0073
2003,4798,50,0,0.0072
2003,4799,51,0,0.0068
2003,4800,52,0,0.0065
2003,4801,53,0,0.0064
2003,4802,54,0,0.0061
2003,4803,55,0,0.006
2003,4804,56,0,0.0059
2003,4805,57,0,0.0056
2003,4806,58,0,0.0052
2003,4807,59,0,0.0051
2003,4808,60,0,0.0049
2003,4809,61,0,0.0046
2003,4810,62,0,0.0043
2003,4811,63,0,0.0042
2003,4812,64,0,0.0041
2003,4813,65,0,0.004
2003,4814,66,0,0.0034
2003,4815,67,0,0.0034
2003,4816,68,0,0.0031
2003,4817,69,0,0.0029
2003,4818,70,0,0.0026
2003,4819,71,0,0.0024
2003,4820,72,0,0.0022
2003,4821,73,0,0.0019
2003,4822,74,0,0.0017
2003,4823,75,0,0.0015
2003,4824,76,0,0.0013
2003,4825,77,0,0.0048
2003,4826,78,0,0.0084
2003,4827,79,0,0.0119
2003,4828,80,0,0.0159
2003,4829,81,0,0.0194
2003,4830,82,0,0.0227
2003,4831,83,0,0.0263
2003,4832,84,0,0.03
2003,4833,85,0,0.0335
2003,4834,86,0,0.0371
2003,4835,87,0,0.0408
2003,4836,88,0,0.0446
2003,4837,89,0,0.0478
2003,4838,90,0,0.0517
2003,4839,91,0,0.0551
2003,4840,92,0,0.0586
2003,4841,93,0,0.0623
2003,4842,94,0,0.066
2003,4843,95,0,0.0693
2003,4844,96,0,0.0731
2003,4845,97,0,0.0767
2003,4846,98,0,0.0803
2003,4847,99,0,0.084
2003,4848,100,0,0.0876
2003,4849,101,0,0.091
2003,4850,102,0,0.1046
2003,4851,103,0,0.1183
2003,4852,104,0,0.1317
2003,4853,105,0,0.1454
2003,4854,106,0,0.1591
2003,4855,107,0,0.1727
2003,4856,108,0,0.1865
2003,4857,109,0,0.1998
2003,4858,110,0,0.2135
2003,4859,111,0,0.2273
2003,4860,112,0,0.2407
2003,4861,113,0,0.2542
2003,4862,114,0,0.2677
2003,4863,115,0,0.2813
2003,4864,116,0,0.2949
2003,4865,117,0,0.3086
2003,4866,118,0,0.3223
2003,4867,119,0,0.3357
2003,4868,120,0,0.3491
2003,4869,121,0,0.3629
2003,4870,122,0,0.3764
2003,4871,123,0,0.3902
2003,4872,124,0,0.4038
2003,4873,125,0,0.4173
2003,4874,126,0,0.4308
2003,4875,127,0,0.4442
2003,4876,128,0,0.4581
2003,4877,129,0,0.4718
2003,4878,130,0,0.4853
2003,4879,131,0,0.499
2003,4880,132,0,0.5125
2003,4881,133,0,0.526
2003,4882,134,0,0.5397
2003,4883,135,0,0.5533
2003,4884,136,0,0.5669
2003,4885,137,0,0.5805
2003,4886,138,0,0.5941
2003,4887,139,0,0.6078
2003,4888,140,0,0.6212
2003,4889,141,0,0.6346
2003,4890,142,0,0.6483
2003,4891,143,0,0.6619
2003,4892,144,0,0.6756
2003,4893,145,0,0.6892
2003,4894,146,0,0.7027
2003,4895,147,0,0.7165
2003,4896,148,0,0.7212
2003,4897,149,0,0.7262
2003,4898,150,0,0.7311
2003,4899,151,0,0.7361
2003,4900,152,0,0.7409
2003,4901,153,0,0.7457
2003,4902,154,0,0.7507
2003,4903,155,0,0.7554
2003,4904,156,0,0.7607
2003,4905,157,0,0.7656
2003,4906,158,0,0.7703
2003,4907,159,0,0.7751
2003,4908,160,0,0.78
2003,4909,161,0,0.785
2003,4910,162,0,0.7898
2003,4911,163,0,0.7946
2003,4912,164,0,0.7994
2003,4913,165,0,0.8045
2003,4914,166,0,0.8093
2003,4915,167,0,0.8142
2003,4916,168,0,0.8191
2003,4917,169,0,0.824
2003,4918,170,0,0.9298
2003,4919,171,0,0.9295
2003,4920,172,0,0.9291
2003,4921,173,0,0.929
2003,4922,174,0,0.9289
2003,4923,175,0,0.9284
2003,4924,176,0,0.9283
2003,4925,177,0,0.9281
2003,4926,178,0,0.9278
2003,4927,179,0,0.9275
2003,4928,180,0,0.9273
2003,4929,181,0,0.9269
2003,4930,182,0,0.9267
2003,4931,183,0,0.9264
2003,4932,184,0,0.9261
2003,4933,185,0,0.9259
2003,4934,186,0,0.9257
2003,4935,187,0,0.9253
2003,4936,188,0,0.9252
2003,4937,189,0,0.9249
2003,4938,190,0,0.9246
2003,4939,191,0,0.9242
2003,4940,192,0,0.9239
2003,4941,193,0,0.9238
2003,4942,194,0,0.9235
2003,4943,195,0,0.9232
2003,4944,196,0,0.923
2003,4945,197,0,0.9228
2003,4946,198,0,0.9225
2003,4947,199,0,0.9225
2003,4948,200,0,0.9224
2003,4949,201,0,0.9224
2003,4950,202,0,0.9222
2003,4951,203,0,0.9221
2003,4952,204,0,0.922
2003,4953,205,0,0.922
2003,4954,206,0,0.9219
2003,4955,207,0,0.9218
2003,4956,208,0,0.9217
2003,4957,209,0,0.9217
2003,4958,210,0,0.9217
2003,4959,211,0,0.9216
2003,4960,212,0,0.9214
2003,4961,213,0,0.9212
2003,4962,214,0,0.9212
2003,4963,215,0,0.9212
2003,4964,216,0,0.9212
2003,4965,217,0,0.921
2003,4966,218,0,0.921
2003,4967,219,0,0.921
2003,4968,220,0,0.921
2003,4969,221,0,0.921
2003,4970,222,0,0.9207
2003,4971,223,0,0.9206
2003,4972,224,0,0.9206
2003,4973,225,0,0.9205
2003,4974,226,0,0.9204
2003,4975,227,0,0.9203
2003,4976,228,0,0.9195
2003,4977,229,0,0.9185
2003,4978,230,0,0.9177
2003,4979,231,0,0.9167
2003,4980,232,0,0.9159
2003,4981,233,0,0.915
2003,4982,234,0,0.914
2003,4983,235,0,0.9131
2003,4984,236,0,0.9122
2003,4985,237,0,0.9113
2003,4986,238,0,0.9104
2003,4987,239,0,0.9094
2003,4988,240,0,0.9086
2003,4989,241,0,0.9077
2003,4990,242,0,0.9068
2003,4991,243,0,0.9058
2003,4992,244,0,0.9049
2003,4993,245,0,0.9039
2003,4994,246,0,0.9031
2003,4995,247,0,0.9022
2003,4996,248,0,0.9014
2003,4997,249,0,0.9004
2003,4998,250,0,0.8995
2003,4999,251,0,0.8986
2003,5000,252,0,0.8978
2003,5001,253,0,0.8968
2003,5002,254,0,0.8959
2003,5003,255,0,0.895
2003,5004,256,0,0.8941
2003,5005,257,0,0.8931
2003,5006,258,0,0.8923
2003,5007,259,0,0.8913
2003,5008,260,0,0.8904
2003,5009,261,0,0.8711
2003,5010,262,0,0.8521
2003,5011,263,0,0.8329
2003,5012,264,0,0.8137
2003,5013,265,0,0.7946
2003,5014,266,0,0.7755
2003,5015,267,0,0.7698
2003,5016,268,0,0.7641
2003,5017,269,0,0.7587
2003,5018,270,0,0.7532
2003,5019,271,0,0.7474
2003,5020,272,0,0.7419
2003,5021,273,0,0.7362
2003,5022,274,0,0.7305
2003,5023,275,0,0.7251
2003,5024,276,0,0.7194
2003,5025,277,0,0.7136
2003,5026,278,0,0.7081
2003,5027,279,0,0.7025
2003,5028,280,0,0.697
2003,5029,281,0,0.6912
2003,5030,282,0,0.6857
2003,5031,283,0,0.6802
2003,5032,284,0,0.6746
2003,5033,285,0,0.6688
2003,5034,286,0,0.6635
2003,5035,287,0,0.6578
2003,5036,288,0,0.652
2003,5037,289,0,0.6368
2003,5038,290,0,0.6215
2003,5039,291,0,0.6062
2003,5040,292,0,0.5909
2003,5041,293,0,0.5755
2003,5042,294,0,0.5604
2003,5043,295,0,0.545
2003,5044,296,0,0.5297
2003,5045,297,0,0.5144
2003,5046,298,0,0.499
2003,5047,299,0,0.4837
2003,5048,300,0,0.4683
2003,5049,301,0,0.4531
2003,5050,302,0,0.4377
2003,5051,303,0,0.4222
2003,5052,304,0,0.3929
2003,5053,305,0,0.3634
2003,5054,306,0,0.3339
2003,5055,307,0,0.3044
2003,5056,308,0,0.2749
2003,5057,309,0,0.2457
2003,5058,310,0,0.216
2003,5059,311,0,0.1867
2003,5060,312,0,0.157
2003,5061,313,0,0.1277
2003,5062,314,0,0.098
2003,5063,315,0,0.0687
2003,5064,316,0,0.0395
2003,5065,317,0,0.0099
2003,5066,318,0,0.0096
2003,5067,319,0,0.0094
2003,5068,320,0,0.0092
2003,5069,321,0,0.0089
2003,5070,322,0,0.0084
2003,5071,323,0,0.0082
2003,5072,324,0,0.0081
2003,5073,325,0,0.0081
2003,5074,326,0,0.0077
2003,5075,327,0,0.0075
2003,5076,328,0,0.0073
2003,5077,329,0,0.007
2003,5078,330,0,0.007
2003,5079,331,0,0.0068
2003,5080,332,0,0.0067
2003,5081,333,0,0.0065
2003,5082,334,0,0.0064
2003,5083,335,0,0.0062
2003,5084,336,0,0.0062
2003,5085,337,0,0.006
2003,5086,338,0,0.0058
2003,5087,339,0,0.0058
2003,5088,340,0,0.0056
2003,5089,341,0,0.0055
2003,5090,342,0,0.0054
2003,5091,343,0,0.0054
2003,5092,344,0,0.0053
2003,5093,345,0,0.0051
2003,5094,346,0,0.005
2003,5095,347,0,0.0049
2003,5096,348,0,0.0048
2003,5097,349,0,0.0044
2003,5098,350,0,0.0043
2003,5099,351,0,0.0042
2003,5100,352,0,0.0042
2003,5101,353,0,0.004
2003,5102,354,0,0.0039
2003,5103,355,0,0.0039
2003,5104,356,0,0.0037
2003,5105,357,0,0.0036
2003,5106,358,0,0.0036
2003,5107,359,0,0.0034
2003,5108,360,0,0.0033
2003,5109,361,0,0.0033
2003,5110,362,0,0.0031
2003,5111,363,0,0.003
2003,5112,364,0,0.0028
2003,5113,365,0,0.0028
