year,JDT,DOY,Time,PAR.HW
2003,4749,1,0.5,0
2003,4749.02,1,1,0
2003,4749.04,1,1.5,0
2003,4749.06,1,2,0
2003,4749.08,1,2.5,0
2003,4749.1,1,3,0
2003,4749.13,1,3.5,0
2003,4749.15,1,4,0
2003,4749.17,1,4.5,0
2003,4749.19,1,5,0
2003,4749.21,1,5.5,0
2003,4749.23,1,6,0
2003,4749.25,1,6.5,0
2003,4749.27,1,7,0
2003,4749.29,1,7.5,0
2003,4749.31,1,8,46.012962
2003,4749.33,1,8.5,184.94215
2003,4749.35,1,9,348.09698
2003,4749.38,1,9.5,513.31586
2003,4749.4,1,10,664.84424
2003,4749.42,1,10.5,794.5249
2003,4749.44,1,11,901.88586
2003,4749.46,1,11.5,979.84583
2003,4749.48,1,12,1031.3031
2003,4749.5,1,12.5,1059.4855
2003,4749.52,1,13,1048.3201
2003,4749.54,1,13.5,1012.0574
2003,4749.56,1,14,937.09467
2003,4749.58,1,14.5,846.43231
2003,4749.6,1,15,730.00293
2003,4749.63,1,15.5,583.81024
2003,4749.65,1,16,390.33215
2003,4749.67,1,16.5,256.42465
2003,4749.69,1,17,84.831543
2003,4749.71,1,17.5,0
2003,4749.73,1,18,0
2003,4749.75,1,18.5,0
2003,4749.77,1,19,0
2003,4749.79,1,19.5,0
2003,4749.81,1,20,0
2003,4749.83,1,20.5,0
2003,4749.85,1,21,0
2003,4749.88,1,21.5,0
2003,4749.9,1,22,0
2003,4749.92,1,22.5,0
2003,4749.94,1,23,0
2003,4749.96,1,23.5,0
2003,4749.98,1,24,0
2003,4750,2,0.5,0
2003,4750.02,2,1,0
2003,4750.04,2,1.5,0
2003,4750.06,2,2,0
2003,4750.08,2,2.5,0
2003,4750.1,2,3,0
2003,4750.13,2,3.5,0
2003,4750.15,2,4,0
2003,4750.17,2,4.5,0
2003,4750.19,2,5,0
2003,4750.21,2,5.5,0
2003,4750.23,2,6,0
2003,4750.25,2,6.5,0
2003,4750.27,2,7,0
2003,4750.29,2,7.5,0
2003,4750.31,2,8,18.321323
2003,4750.33,2,8.5,95.133972
2003,4750.35,2,9,138.96324
2003,4750.38,2,9.5,288.60327
2003,4750.4,2,10,290.99664
2003,4750.42,2,10.5,279.28235
2003,4750.44,2,11,294.74039
2003,4750.46,2,11.5,305.82892
2003,4750.48,2,12,325.84311
2003,4750.5,2,12.5,292.3031
2003,4750.52,2,13,233.01799
2003,4750.54,2,13.5,202.92529
2003,4750.56,2,14,132.14546
2003,4750.58,2,14.5,117.66452
2003,4750.6,2,15,107.22375
2003,4750.63,2,15.5,86.500305
2003,4750.65,2,16,86.296104
2003,4750.67,2,16.5,92.824051
2003,4750.69,2,17,18.113825
2003,4750.71,2,17.5,0
2003,4750.73,2,18,0
2003,4750.75,2,18.5,0
2003,4750.77,2,19,0
2003,4750.79,2,19.5,0
2003,4750.81,2,20,0
2003,4750.83,2,20.5,0
2003,4750.85,2,21,0
2003,4750.88,2,21.5,0
2003,4750.9,2,22,0
2003,4750.92,2,22.5,0
2003,4750.94,2,23,0
2003,4750.96,2,23.5,0
2003,4750.98,2,24,0
