year,JDT,DOY,Time,litu.HW
2003,4749,1,0.5,3.18
2003,4749.02,1,1,3.18
2003,4749.04,1,1.5,3.18
2003,4749.06,1,2,3.18
2003,4749.08,1,2.5,3.18
2003,4749.1,1,3,3.18
2003,4749.13,1,3.5,3.18
2003,4749.15,1,4,3.18
2003,4749.17,1,4.5,3.18
2003,4749.19,1,5,3.18
2003,4749.21,1,5.5,3.18
2003,4749.23,1,6,3.18
2003,4749.25,1,6.5,3.18
2003,4749.27,1,7,3.18
2003,4749.29,1,7.5,3.18
2003,4749.31,1,8,3.18
2003,4749.33,1,8.5,3.18
2003,4749.35,1,9,3.18
2003,4749.38,1,9.5,3.18
2003,4749.4,1,10,3.18
2003,4749.42,1,10.5,3.18
2003,4749.44,1,11,3.18
2003,4749.46,1,11.5,3.18
2003,4749.48,1,12,3.18
2003,4749.5,1,12.5,3.18
2003,4749.52,1,13,3.18
2003,4749.54,1,13.5,3.18
2003,4749.56,1,14,3.18
2003,4749.58,1,14.5,3.18
2003,4749.6,1,15,3.18
2003,4749.63,1,15.5,3.18
2003,4749.65,1,16,3.18
2003,4749.67,1,16.5,3.18
2003,4749.69,1,17,3.18
2003,4749.71,1,17.5,3.18
2003,4749.73,1,18,3.18
2003,4749.75,1,18.5,3.18
2003,4749.77,1,19,3.18
2003,4749.79,1,19.5,3.18
2003,4749.81,1,20,3.18
2003,4749.83,1,20.5,3.18
2003,4749.85,1,21,3.18
2003,4749.88,1,21.5,3.18
2003,4749.9,1,22,3.18
2003,4749.92,1,22.5,3.18
2003,4749.94,1,23,3.18
2003,4749.96,1,23.5,3.18
2003,4749.98,1,24,3.18
2003,4750,2,0.5,3.18
2003,4750.02,2,1,3.18
2003,4750.04,2,1.5,3.18
2003,4750.06,2,2,3.18
2003,4750.08,2,2.5,3.18
2003,4750.1,2,3,3.18
2003,4750.13,2,3.5,3.18
2003,4750.15,2,4,3.18
2003,4750.17,2,4.5,3.18
2003,4750.19,2,5,3.18
2003,4750.21,2,5.5,3.18
2003,4750.23,2,6,3.18
2003,4750.25,2,6.5,3.18
2003,4750.27,2,7,3.18
2003,4750.29,2,7.5,3.18
2003,4750.31,2,8,3.18
2003,4750.33,2,8.5,3.18
2003,4750.35,2,9,3.18
2003,4750.38,2,9.5,3.18
