year,JDT,DOY,Time,VPD.HW
2003,4749,1,0.5,0.014916519
2003,4749.02,1,1,0.010276678
2003,4749.04,1,1.5,0.008957243
2003,4749.06,1,2,0.01125395
2003,4749.08,1,2.5,0.017293392
2003,4749.1,1,3,0.023307685
2003,4749.13,1,3.5,0.021324806
2003,4749.15,1,4,0.019288134
2003,4749.17,1,4.5,0.02113637
2003,4749.19,1,5,0.042595591
2003,4749.21,1,5.5,0.048128691
2003,4749.23,1,6,0.038186666
2003,4749.25,1,6.5,0.049927007
2003,4749.27,1,7,0.053801663
2003,4749.29,1,7.5,0.059415158
2003,4749.31,1,8,0.041712906
2003,4749.33,1,8.5,0.028170696
2003,4749.35,1,9,0.029820139
2003,4749.38,1,9.5,0.027672851
2003,4749.4,1,10,0.021969493
2003,4749.42,1,10.5,0.027234895
2003,4749.44,1,11,0.041813549
2003,4749.46,1,11.5,0.068042427
2003,4749.48,1,12,0.11225343
2003,4749.5,1,12.5,0.12991528
2003,4749.52,1,13,0.22218665
2003,4749.54,1,13.5,0.18845944
2003,4749.56,1,14,0.21469378
2003,4749.58,1,14.5,0.30424351
2003,4749.6,1,15,0.36668521
2003,4749.63,1,15.5,0.46795163
2003,4749.65,1,16,0.62344462
2003,4749.67,1,16.5,0.58616531
2003,4749.69,1,17,0.57741833
2003,4749.71,1,17.5,0.525442
2003,4749.73,1,18,0.45940742
2003,4749.75,1,18.5,0.43783391
2003,4749.77,1,19,0.40887418
2003,4749.79,1,19.5,0.3681348
2003,4749.81,1,20,0.33862305
2003,4749.83,1,20.5,0.32683
2003,4749.85,1,21,0.29749826
2003,4749.88,1,21.5,0.28585422
2003,4749.9,1,22,0.27550897
2003,4749.92,1,22.5,0.25883296
2003,4749.94,1,23,0.22008599
2003,4749.96,1,23.5,0.20188843
2003,4749.98,1,24,0.18549994
2003,4750,2,0.5,0.15719119
2003,4750.02,2,1,0.13770236
2003,4750.04,2,1.5,0.12159383
2003,4750.06,2,2,0.10866438
2003,4750.08,2,2.5,0.10273485
2003,4750.1,2,3,0.07954409
2003,4750.13,2,3.5,0.050210841
2003,4750.15,2,4,0.035006847
2003,4750.17,2,4.5,0.02637215
2003,4750.19,2,5,0.020664925
2003,4750.21,2,5.5,0.014818002
2003,4750.23,2,6,0.010526726
2003,4750.25,2,6.5,0.008490537
2003,4750.27,2,7,0.00855437
2003,4750.29,2,7.5,0.009049852
2003,4750.31,2,8,0.005952237
2003,4750.33,2,8.5,0.005079632
2003,4750.35,2,9,0.003166642
2003,4750.38,2,9.5,0.004332812
2003,4750.4,2,10,0.003359419
2003,4750.42,2,10.5,0.002392599
2003,4750.44,2,11,0.028586159
2003,4750.46,2,11.5,0.073398501
2003,4750.48,2,12,0.064543203
2003,4750.5,2,12.5,0.041140921
2003,4750.52,2,13,0.023797739
2003,4750.54,2,13.5,0.01419251
2003,4750.56,2,14,0.009468039
2003,4750.58,2,14.5,0.005897657
2003,4750.6,2,15,0.004730837
2003,4750.63,2,15.5,0.00474039
2003,4750.65,2,16,0.004737204
2003,4750.67,2,16.5,0.004705444
2003,4750.69,2,17,0.004683324
2003,4750.71,2,17.5,0.004664436
2003,4750.73,2,18,0.003505404
2003,4750.75,2,18.5,0.003510128
2003,4750.77,2,19,0.002335362
2003,4750.79,2,19.5,0.004611287
2003,4750.81,2,20,0.004586461
2003,4750.83,2,20.5,0.004577181
2003,4750.85,2,21,0.003423626
2003,4750.88,2,21.5,0.003423626
2003,4750.9,2,22,0.003437524
2003,4750.92,2,22.5,0.002304089
2003,4750.94,2,23,0.002294779
2003,4750.96,2,23.5,0.002277797
2003,4750.98,2,24,0.002273185
2003,4751,3,0.5,0.002267048
2003,4751.02,3,1,0.002259398
2003,4751.04,3,1.5,0.002262455
2003,4751.06,3,2,0.002263985
2003,4751.08,3,2.5,0.002262455
2003,4751.1,3,3,0.002254818
2003,4751.13,3,3.5,0.001125885
2003,4751.15,3,4,0.001128172
2003,4751.17,3,4.5,0.001128172
2003,4751.19,3,5,0
2003,4751.21,3,5.5,0
2003,4751.23,3,6,0
2003,4751.25,3,6.5,0
2003,4751.27,3,7,0
2003,4751.29,3,7.5,0
2003,4751.31,3,8,0
2003,4751.33,3,8.5,0
2003,4751.35,3,9,0
2003,4751.38,3,9.5,0
2003,4751.4,3,10,0
2003,4751.42,3,10.5,0
2003,4751.44,3,11,0.001161404
2003,4751.46,3,11.5,0.001163755
2003,4751.48,3,12,0.001165324
2003,4751.5,3,12.5,0.002324374
2003,4751.52,3,13,0.00452491
2003,4751.54,3,13.5,0.016577354
2003,4751.56,3,14,0.023323994
2003,4751.58,3,14.5,0.033394244
2003,4751.6,3,15,0.030821759
2003,4751.63,3,15.5,0.047624767
2003,4751.65,3,16,0.056652479
2003,4751.67,3,16.5,0.066561192
2003,4751.69,3,17,0.068618007
2003,4751.71,3,17.5,0.055584874
2003,4751.73,3,18,0.045732394
2003,4751.75,3,18.5,0.088418648
2003,4751.77,3,19,0.22031318
2003,4751.79,3,19.5,0.26908588
2003,4751.81,3,20,0.24600592
2003,4751.83,3,20.5,0.22028495
2003,4751.85,3,21,0.22302605
2003,4751.88,3,21.5,0.23067787
2003,4751.9,3,22,0.22987507
2003,4751.92,3,22.5,0.23465177
2003,4751.94,3,23,0.24251072
2003,4751.96,3,23.5,0.21292908
2003,4751.98,3,24,0.21739841
2003,4752,4,0.5,0.22200759
2003,4752.02,4,1,0.22547802
2003,4752.04,4,1.5,0.24804853
2003,4752.06,4,2,0.25577605
2003,4752.08,4,2.5,0.23760477
2003,4752.1,4,3,0.23724329
2003,4752.13,4,3.5,0.231904
2003,4752.15,4,4,0.22886837
2003,4752.17,4,4.5,0.21163307
2003,4752.19,4,5,0.20201448
2003,4752.21,4,5.5,0.1900987
2003,4752.23,4,6,0.1773655
2003,4752.25,4,6.5,0.17701554
2003,4752.27,4,7,0.1586457
2003,4752.29,4,7.5,0.15615427
2003,4752.31,4,8,0.16965468
2003,4752.33,4,8.5,0.18612012
2003,4752.35,4,9,0.21571378
2003,4752.38,4,9.5,0.26444402
2003,4752.4,4,10,0.3079915
2003,4752.42,4,10.5,0.34198749
2003,4752.44,4,11,0.36692205
2003,4752.46,4,11.5,0.3859053
2003,4752.48,4,12,0.40324777
2003,4752.5,4,12.5,0.43125507
2003,4752.52,4,13,0.46590373
2003,4752.54,4,13.5,0.49355838
2003,4752.56,4,14,0.50126159
2003,4752.58,4,14.5,0.5227896
2003,4752.6,4,15,0.54421628
