year,JDT,DOY,Time,SM.HW
2003,4749,1,30,0.431853378
2003,4749.02,1,100,0.431852518
2003,4749.04,1,130,0.431556563
2003,4749.06,1,200,0.431192051
2003,4749.08,1,230,0.431191189
2003,4749.1,1,300,0.431088375
2003,4749.13,1,330,0.431252188
2003,4749.15,1,400,0.432057613
2003,4749.17,1,430,0.435433928
2003,4749.19,1,500,0.441382188
2003,4749.21,1,530,0.444900385
2003,4749.23,1,600,0.445474318
2003,4749.25,1,630,0.445363765
2003,4749.27,1,700,0.445639931
2003,4749.29,1,730,0.445565395
2003,4749.31,1,800,0.446155063
2003,4749.33,1,830,0.445819168
2003,4749.35,1,900,0.451423025
2003,4749.38,1,930,0.475076917
2003,4749.4,1,1000,0.476361815
2003,4749.42,1,1030,0.477250438
2003,4749.44,1,1100,0.477055431
2003,4749.46,1,1130,0.476290619
2003,4749.48,1,1200,0.475126538
2003,4749.5,1,1230,0.473652503
2003,4749.52,1,1300,0.472590614
2003,4749.54,1,1330,0.471970754
2003,4749.56,1,1400,0.471119158
2003,4749.58,1,1430,0.470421312
2003,4749.6,1,1500,0.470038956
2003,4749.63,1,1530,0.469732662
2003,4749.65,1,1600,0.469284024
2003,4749.67,1,1630,0.4691394
2003,4749.69,1,1700,0.468553424
2003,4749.71,1,1730,0.467968942
2003,4749.73,1,1800,0.467260826
2003,4749.75,1,1830,0.466679305
2003,4749.77,1,1900,0.466312448
2003,4749.79,1,1930,0.465619375
2003,4749.81,1,2000,0.465379691
2003,4749.83,1,2030,0.464688969
2003,4749.85,1,2100,0.464124022
2003,4749.88,1,2130,0.463490303
2003,4749.9,1,2200,0.463252869
2003,4749.92,1,2230,0.462307134
2003,4749.94,1,2300,0.462146213
2003,4749.96,1,2330,0.461640003
2003,4749.98,1,2400,0.461080534
2003,4750,2,30,0.461058994
2003,4750.02,2,100,0.460555022
2003,4750.04,2,130,0.460320838
2003,4750.06,2,200,0.459764048
2003,4750.08,2,230,0.459262298
2003,4750.1,2,300,0.459150734
2003,4750.13,2,330,0.458650068
2003,4750.15,2,400,0.458452256
2003,4750.17,2,430,0.457845301
2003,4750.19,2,500,0.457697971
2003,4750.21,2,530,0.457218928
2003,4750.23,2,600,0.456832785
2003,4750.25,2,630,0.456234795
2003,4750.27,2,700,0.456023971
2003,4750.29,2,730,0.45542745
2003,4750.31,2,800,0.45520664
2003,4750.33,2,830,0.454631316
